iter	Passed	Remaining
491	564	582
492	565	581
493	567	581
494	568	579
495	569	578
496	570	577
497	571	576
498	573	575
499	574	574
500	575	572
501	576	571
502	577	570
503	578	569
504	580	569
505	581	568
506	582	566
507	584	565
508	585	564
509	586	563
510	587	562
511	588	561
512	590	560
513	591	559
514	592	558
515	593	557
516	595	555
517	596	554
518	597	554
519	599	553
520	600	552
521	601	551
522	603	550
523	605	549
524	606	548
525	606	546
526	608	545
527	610	545
528	611	544
529	612	543
530	613	541
531	614	540
532	616	539
533	617	538
534	618	537
535	619	536
536	620	535
537	622	534
538	623	532
539	623	531
540	624	530
541	625	528
542	626	527
543	628	526
544	629	525
545	630	524
546	632	523
547	633	522
548	634	521
549	635	519
550	636	518
551	637	517
552	638	516
553	639	514
554	640	513
555	642	512
556	643	511
557	644	510
558	645	509
559	646	508
560	648	507
561	649	506
562	651	505
563	654	505
564	657	505
565	659	505
566	661	504
567	663	504
568	664	503
569	666	503
570	667	501
571	669	500
572	670	499
573	671	498
574	672	497
575	673	495
576	675	494
577	676	493
578	678	493
579	680	492
580	682	492
581	683	491
582	685	490
583	687	489
584	688	488
585	689	487
586	690	486
587	691	484
588	692	483
589	693	482
590	694	480
591	696	480
592	697	479
593	699	477
594	700	476
595	702	475
596	703	474
597	704	473
598	705	472
599	707	471
600	708	470
601	709	468
602	710	467
603	711	466
604	712	464
605	713	463
606	714	462
607	715	461
608	716	459
609	717	458
610	718	457
611	723	458
612	724	457
613	725	456
614	727	455
615	728	453
616	729	452
617	730	451
618	731	450
619	733	449
620	734	448
621	735	446
622	736	445
623	737	444
624	739	443
625	740	442
626	741	441
627	743	440
628	744	439
629	746	438
630	746	436
631	747	435
632	748	434
633	749	432
634	751	431
635	752	430
636	753	429
637	754	428
638	755	427
639	757	426
640	758	424
641	759	423
642	761	422
643	763	422
644	764	420
645	765	419
646	766	418
647	768	417
648	769	416
649	770	415
650	772	413
651	773	412
652	774	411
653	775	410
654	776	409
655	777	407
656	778	406
657	779	405
658	781	404
659	782	402
660	782	401
661	783	400
662	785	399
663	786	397
664	787	396
665	788	395
666	789	394
667	790	393
668	791	391
669	793	390
670	794	389
671	795	388
672	796	387
673	797	385
674	798	384
675	800	383
676	801	382
677	802	380
678	802	379
679	803	378
680	804	377
681	806	375
682	807	374
683	808	373
684	809	372
685	811	371
686	812	370
687	813	369
688	814	367
689	815	366
690	816	365
691	817	363
692	819	362
693	820	361
694	821	360
695	822	359
696	824	358
697	825	357
698	826	355
699	827	354
700	828	353
701	829	352
702	831	351
703	832	350
704	833	348
705	835	347
706	836	346
707	838	345
708	839	344
709	840	343
710	841	342
711	843	340
712	844	339
713	845	338
714	846	337
715	848	336
716	849	335
717	850	334
718	851	332
719	852	331
720	854	330
721	855	329
722	856	328
723	857	326
724	858	325
725	860	324
726	861	323
727	862	322
728	864	321
729	865	320
730	866	318
731	868	317
732	869	316
733	870	315
734	871	314
735	875	313
736	878	313
737	880	312
738	883	312
739	885	311
740	886	310
741	888	308
742	889	307
743	890	306
744	891	305
745	893	304
746	894	302
747	895	301
748	896	300
749	897	299
750	898	297
751	900	296
752	901	295
753	901	294
754	903	293
755	904	291
756	905	290
757	907	289
758	908	288
759	909	287
760	910	286
761	912	284
762	913	283
763	914	282
764	915	281
765	916	279
766	917	278
767	918	277
768	919	276
769	920	275
770	921	273
771	923	272
772	924	271
773	925	270
774	927	269
775	928	267
776	929	266
777	930	265
778	932	264
779	933	263
780	934	261
781	935	260
782	936	259
783	937	258
784	938	257
785	939	255
786	941	254
787	942	253
788	944	252
789	944	251
790	946	249
791	947	248
792	948	247
793	949	246
794	950	245
795	951	243
796	952	242
797	953	241
798	954	240
799	956	239
800	957	237
801	958	236
802	959	235
803	960	234
804	961	232
805	962	231
806	963	230
807	964	229
808	966	228
809	967	227
810	969	225
811	970	224
812	971	223
813	972	222
814	972	220
815	974	219
816	975	218
817	976	217
818	977	215
819	977	214
820	979	213
821	980	212
822	981	211
823	982	209
824	983	208
825	984	207
826	986	206
827	987	205
828	988	203
829	990	202
830	991	201
831	993	200
832	994	199
833	995	198
834	995	196
835	996	195
836	997	194
837	999	193
838	1000	191
839	1001	190
840	1002	189
841	1003	188
842	1005	187
843	1006	186
844	1007	184
845	1008	183
846	1010	182
847	1011	181
848	1012	180
849	1013	178
850	1014	177
851	1014	176
852	1016	175
853	1018	174
854	1019	172
855	1020	171
856	1021	170
